"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"lro:LROC_Parameters:1               ","Class","LROC_Parameters","1.0.0.0","lro","TBD","geo","","","","","","","","","","",""
"lro:LROC_Parameters:2                lro:upload_id:1                     ","Attribute","upload_id","n/a","lro","The upload_id attribute describes a spacecraft command set that is associated with the given data product.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:rationale_desc:1                ","Attribute","rationale_desc","n/a","lro","The rationale_desc attribute describes the rationale for performing a particular observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:data_quality_id:1               ","Attribute","data_quality_id","n/a","lro","The data_quality_id attribute provides a numeric key which identifies the quality of data available for a particular time period. The data_quality_id scheme is unique to a given instrument and is described by the associated data_quality_desc attribute. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:data_quality_desc:1             ","Attribute","data_quality_desc","n/a","lro","The data_quality_desc attribute describes the data qualities associated with a data_quality_id attribute. ","geo","ASCII_Text_Collapsed","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"lro:LROC_Parameters:2                lro:begin_temperature_scs:1         ","Attribute","begin_temperature_scs","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:middle_temperature_scs:1        ","Attribute","middle_temperature_scs","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:end_temperature_scs:1           ","Attribute","end_temperature_scs","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:begin_temperature_fpa:1         ","Attribute","begin_temperature_fpa","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:middle_temperature_fpa:1        ","Attribute","middle_temperature_fpa","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:end_temperature_fpa:1           ","Attribute","end_temperature_fpa","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:begin_temperature_scs_raw:1     ","Attribute","begin_temperature_scs_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:middle_temperature_scs_raw:1    ","Attribute","middle_temperature_scs_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:end_temperature_scs_raw:1       ","Attribute","end_temperature_scs_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:begin_temperature_fpa_raw:1     ","Attribute","begin_temperature_fpa_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:middle_temperature_fpa_raw:1    ","Attribute","middle_temperature_fpa_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:end_temperature_fpa_raw:1       ","Attribute","end_temperature_fpa_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:preroll_time:1                  ","Attribute","preroll_time","n/a","lro","The UTC time and date at the start of the image acquisition command, corresponding to the acquisition of 1024 lines at the given exposure prior to the actual image acquisition. ","geo","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"lro:LROC_Parameters:2                lro:spacecraft_clock_preroll_count:1","Attribute","spacecraft_clock_preroll_count","n/a","lro","Set to the sclk string for the start of an observation preroll acquisition.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:frame_id:1                      ","Attribute","frame_id","n/a","lro","For NAC, records if the image was acquired from the "LEFT" or "RIGHT" NAC.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
